06-05-2018 10:37:50.318 | DEBUG | main       | .aibar.base.BaseTest:36    | config file loaded.
06-05-2018 10:40:45.553 | DEBUG | main       | .aibar.base.BaseTest:66    | navigated to: https://www.expedia.com/
06-05-2018 10:41:14.067 | DEBUG | main       | .aibar.base.BaseTest:78    | test execution completed.
06-05-2018 10:44:18.265 | DEBUG | main       | .aibar.base.BaseTest:36    | config file loaded.
06-05-2018 10:45:46.229 | DEBUG | main       | .aibar.base.BaseTest:66    | navigated to: https://www.expedia.com/
06-05-2018 10:46:28.678 | DEBUG | main       | .aibar.base.BaseTest:78    | test execution completed.
06-05-2018 10:47:46.558 | DEBUG | main       | .aibar.base.BaseTest:36    | config file loaded.
06-05-2018 10:48:36.980 | DEBUG | main       | .aibar.base.BaseTest:66    | navigated to: https://www.expedia.com/
06-05-2018 10:49:22.946 | DEBUG | main       | .aibar.base.BaseTest:78    | test execution completed.
06-05-2018 10:51:40.875 | DEBUG | main       | .aibar.base.BaseTest:36    | config file loaded.
06-05-2018 10:52:32.606 | DEBUG | main       | .aibar.base.BaseTest:66    | navigated to: https://www.expedia.com/
06-05-2018 10:53:17.967 | DEBUG | main       | .aibar.base.BaseTest:78    | test execution completed.
06-05-2018 10:57:39.613 | DEBUG | main       | .aibar.base.BaseTest:36    | config file loaded.
06-05-2018 10:58:16.495 | DEBUG | main       | .aibar.base.BaseTest:66    | navigated to: https://www.expedia.com/
06-05-2018 10:58:42.725 | DEBUG | main       | .aibar.base.BaseTest:78    | test execution completed.
06-05-2018 11:35:31.116 | DEBUG | main       | .aibar.base.BaseTest:36    | config file loaded.
06-05-2018 11:36:49.547 | DEBUG | main       | .aibar.base.BaseTest:66    | navigated to: https://www.expedia.com/
06-05-2018 11:37:39.190 | DEBUG | main       | .aibar.base.BaseTest:78    | test execution completed.
06-05-2018 11:46:19.298 | DEBUG | main       | .aibar.base.BaseTest:36    | config file loaded.
06-05-2018 11:47:50.668 | DEBUG | main       | .aibar.base.BaseTest:66    | navigated to: https://www.expedia.com/
06-05-2018 11:48:28.083 | DEBUG | main       | .aibar.base.BaseTest:78    | test execution completed.
06-05-2018 11:51:18.655 | DEBUG | main       | .aibar.base.BaseTest:36    | config file loaded.
06-05-2018 11:52:09.751 | DEBUG | main       | .aibar.base.BaseTest:66    | navigated to: https://www.expedia.com/
06-05-2018 11:52:49.150 | DEBUG | main       | .aibar.base.BaseTest:78    | test execution completed.
06-05-2018 11:54:17.043 | DEBUG | main       | .aibar.base.BaseTest:36    | config file loaded.
06-05-2018 11:54:51.415 | DEBUG | main       | .aibar.base.BaseTest:66    | navigated to: https://www.expedia.com/
06-05-2018 11:55:35.994 | DEBUG | main       | .aibar.base.BaseTest:78    | test execution completed.
06-05-2018 12:05:20.386 | DEBUG | main       | .aibar.base.BaseTest:36    | config file loaded.
06-05-2018 12:07:23.083 | DEBUG | main       | .aibar.base.BaseTest:66    | navigated to: https://www.expedia.com/
06-05-2018 12:08:58.930 | DEBUG | main       | .aibar.base.BaseTest:78    | test execution completed.
